Time/Date,Tickers,Headlines
26-Sep-2023 10:18, $MSFT ,"  ""Analysts weigh in on MSFT ahead of macro data""  "
09/17/2023 04:31 PM, $UBER ,UBER active in premarket as volume spikes
2024-05-20 08:41:06, $TSLA ,TSLA sees block trade interest — sources
2024/08/08 06:05:22, $TSLA ,Sector rotation lifts TSLA in late trade
02/24/2024 06:21 AM, $AMZN ,Sector rotation lifts AMZN in late trade
2024/07/11 11:56:32,meta ,Funds trim exposure to META after sector read-across
24-Apr-2023 12:04, $AMZN ,Sector rotation lifts AMZN in late trade
2023-10-16 06:57:30, $CRM ,Sector rotation lifts CRM in late trade
2023-07-08 10:17:38,ABNB,ABNB options implied volatility elevated
2023-12-30 09:42:31,$MSFT / $META,MSFT options implied volatility elevated
2020/05/01 10:00:00,$ LYFT $LYFT,LYFT sees block trade interest — sources
2025-01-16 14:28:25,META,"""Traders debate valuation for META into quarter-end"""
2023-03-16T16:03:04,$LYFT / $LYFT,LYFT active in premarket as volume spikes
2023-03-17 11:26:12, $META ,Sector rotation lifts META in late trade
"Aug 11, 2023 14:52:07",meta ,Sector rotation lifts META in late trade
2024-01-05 15:38:37,$META / $GOOGL,Traders debate valuation for META into quarter-end
2023-01-22T16:55:13,abnb ,ABNB active in premarket as volume spikes
2024-08-17 13:24:41,GOOGL,GOOGL sees block trade interest — sources
2024-10-26 16:44:30, $UBER ,UBER sees block trade interest — sources
2020-05-01 10:00:00, $LYFT ,Analysts weigh in on LYFT ahead of macro data
"Jun 03, 2023 06:00:35", $LYFT ,"LYFT active in premarket as volume spikes
( wire )"
2023-09-02 08:17:16,$UBER / $UBER,Traders debate valuation for UBER into quarter-end
"Jun 24, 2023 08:59:37",$ META $META,META sees block trade interest — sources
2023-04-04T11:01:02, $AMZN ,"AMZN sees block trade interest — sources
( wire )"
2023-02-15 07:55:05,$ZZTOP,Traders debate valuation for LYFT into quarter-end
"Jul 06, 2023 16:07:16",$UBER,Traders debate valuation for UBER into quarter-end
2025-02-18 10:11:10, $ABNB ,Funds trim exposure to ABNB after sector read-across
2024-03-08 10:03:38,CRM,Traders debate valuation for CRM into quarter-end
2023-12-19T10:19:46,$ CRM $CRM,"""Sector rotation lifts CRM in late trade"""
2024-01-12 07:53:58,$ UBER $UBER,UBER active in premarket as volume spikes
2025-01-04T15:56:54, $AAPL ,AAPL options implied volatility elevated
2023/07/07 14:53:48,$ META $META,META options implied volatility elevated
2025-02-01T09:05:28, $MSFT ,  Traders debate valuation for MSFT into quarter-end  
2024-11-24T08:43:56,abnb ,ABNB options implied volatility elevated
"Jul 23, 2024 09:16:53",META,META sees block trade interest — sources
12/28/2024 04:10 PM,$ TSLA $TSLA,Traders debate valuation for TSLA into quarter-end
23-Jan-2024 15:19, $TSLA ,Analysts weigh in on TSLA ahead of macro data
30-May-2023 09:38,$UBER,UBER active in premarket as volume spikes
2024-11-09 07:46:59,$ZZTOP,TSLA options implied volatility elevated
28-May-2023 09:42, $UBER ,Sector rotation lifts UBER in late trade
01/02/2023 10:33 AM, $LYFT ,Sector rotation lifts LYFT in late trade
16-Oct-2023 16:10,meta ,Analysts weigh in on META ahead of macro data
2024/09/17 16:05:38, $META ,META sees block trade interest — sources
2024-10-02 13:56:07,$META,META moves on headline cross-asset flows
2024/03/06 14:39:26,$ META $META,Funds trim exposure to META after sector read-across
2023-11-13 12:54:48, $GOOGL ,Analysts weigh in on GOOGL ahead of macro data
12/16/2024 08:22 AM,$ZZTOP,LYFT sees block trade interest — sources
27-Sep-2024 08:59,$ZZTOP,Analysts weigh in on AAPL ahead of macro data
"Nov 25, 2024 11:04:55", $CRM ,CRM sees block trade interest — sources
2024-07-30 09:49:52, $AMZN ,AMZN active in premarket as volume spikes
03/04/2024 02:31 PM,$AMZN / $AMZN,Traders debate valuation for AMZN into quarter-end
2024/06/22 06:01:05, $META ,Traders debate valuation for META into quarter-end
2024-03-09 09:17:37, $MSFT ,"""Sector rotation lifts MSFT in late trade"""
2023-03-18 10:11:15,$AAPL,AAPL active in premarket as volume spikes
01/26/2025 08:17 AM,$ TSLA $TSLA,Analysts weigh in on TSLA ahead of macro data
"Mar 29, 2024 10:23:49", $UBER ,UBER options implied volatility elevated
2024-07-24T09:15:28, $AMZN ,AMZN sees block trade interest — sources
11/26/2024 09:10 AM, $AAPL ,AAPL sees block trade interest — sources
2025/02/03 12:21:02,aapl ,Analysts weigh in on AAPL ahead of macro data
2024-12-26 10:32:35,$ META $META,META sees block trade interest — sources
2023-06-26 11:40:34, $TSLA ,TSLA active in premarket as volume spikes
2024/08/26 06:25:57, $LYFT ,  Funds trim exposure to LYFT after sector read-across  
2024/02/05 15:18:27,$ CRM $CRM,CRM moves on headline cross-asset flows
01-Oct-2024 07:37, $AAPL ,AAPL moves on headline cross-asset flows
08/04/2023 10:03 AM, $LYFT ,
"Jan 20, 2024 08:42:36",$META,META moves on headline cross-asset flows
2023-08-07 16:38:04,$AMZN,AMZN options implied volatility elevated
27-Aug-2024 14:51, $MSFT ,Sector rotation lifts MSFT in late trade
"May 09, 2023 07:10:00",$AMZN / $GOOGL,Analysts weigh in on AMZN ahead of macro data
12/03/2024 11:52 AM,$LYFT,Funds trim exposure to LYFT after sector read-across
2024-08-31T08:49:06,$ UBER $UBER,"""UBER moves on headline cross-asset flows"""
2023/07/01 14:52:51, $TSLA ,TSLA moves on headline cross-asset flows
"Apr 05, 2024 14:08:42",$ UBER $UBER,Traders debate valuation for UBER into quarter-end
12/01/2024 03:28 PM,$GOOGL / $MSFT,GOOGL options implied volatility elevated
2024/06/24 06:13:26, $AAPL ,AAPL moves on headline cross-asset flows
22-May-2024 16:00, $AMZN ,Traders debate valuation for AMZN into quarter-end
2023-05-20 12:41:54,$ LYFT $LYFT,Analysts weigh in on LYFT ahead of macro data
"Mar 13, 2025 08:32:39", $LYFT ,LYFT options implied volatility elevated
2023-04-19 12:46:28,$ GOOGL $GOOGL,GOOGL moves on headline cross-asset flows
2025-03-29 16:08:10,$ ABNB $ABNB,"""Sector rotation lifts ABNB in late trade"""
07/11/2024 01:27 PM,$AMZN,AMZN moves on headline cross-asset flows
"Apr 30, 2024 08:42:42",$UBER / $META,Funds trim exposure to UBER after sector read-across
11/29/2024 06:15 AM,msft ,Analysts weigh in on MSFT ahead of macro data
2024/04/23 09:31:15, $META ,  Traders debate valuation for META into quarter-end  
06/07/2024 03:03 PM, $UBER ,UBER active in premarket as volume spikes
2024-12-17 12:16:14, $CRM ,Sector rotation lifts CRM in late trade
01/09/2025 06:50 AM,UBER,UBER active in premarket as volume spikes
2023-08-17 09:33:46, $CRM ,Analysts weigh in on CRM ahead of macro data
"Mar 17, 2024 14:43:34", $ABNB ,ABNB options implied volatility elevated
2023-04-03 08:57:06,msft ,MSFT active in premarket as volume spikes
2024-12-08 15:35:59, $META ,Traders debate valuation for META into quarter-end
2023-01-13T07:52:58, $CRM ,
18-Nov-2023 07:11, $META ,META sees block trade interest — sources
02-Aug-2024 08:16, $AMZN ,AMZN moves on headline cross-asset flows
2023-04-11 11:53:06, $UBER ,Analysts weigh in on UBER ahead of macro data
2025-02-04 09:57:23,$TSLA,Sector rotation lifts TSLA in late trade
07-Apr-2024 14:19,tsla ,Traders debate valuation for TSLA into quarter-end
2023/09/02 12:18:29,$CRM / $CRM,CRM sees block trade interest — sources
2024-10-16 08:34:17,CRM,Traders debate valuation for CRM into quarter-end
2024-07-24 07:15:41,$GOOGL / $AAPL,Funds trim exposure to GOOGL after sector read-across
2025-01-11 16:40:15, $LYFT ,Funds trim exposure to LYFT after sector read-across
"Jan 31, 2025 09:23:05", $TSLA ,Analysts weigh in on TSLA ahead of macro data
2024-12-13 12:14:20, $ABNB ,Sector rotation lifts ABNB in late trade
07-Oct-2023 06:53,AMZN,AMZN options implied volatility elevated
2023-08-02 06:51:01,$TSLA / $CRM,Analysts weigh in on TSLA ahead of macro data
2024-03-19 16:12:44, $ABNB ,ABNB active in premarket as volume spikes
2023-06-17 10:14:48,$ GOOGL $GOOGL,GOOGL sees block trade interest — sources
09/02/2023 01:31 PM, $AAPL ,AAPL sees block trade interest — sources
2024-12-19 16:03:57, $AAPL ,Analysts weigh in on AAPL ahead of macro data
"Sep 04, 2024 13:13:34",$ MSFT $MSFT,  MSFT sees block trade interest — sources  
2024-06-12T07:47:05, $TSLA ,  Traders debate valuation for TSLA into quarter-end  
2020-05-01T10:00:00, $ABNB ,ABNB moves on headline cross-asset flows
2023-10-28 10:58:08,$ABNB / $MSFT,ABNB options implied volatility elevated
2023-01-20 10:44:38,$UBER / $TSLA,UBER moves on headline cross-asset flows
2024/06/17 08:49:09, $AMZN ,AMZN moves on headline cross-asset flows
2024/03/25 13:47:15,$ GOOGL $GOOGL,  GOOGL sees block trade interest — sources  
2025/01/01 06:05:41, $ABNB ,"ABNB active in premarket as volume spikes
( wire )"
10/08/2024 07:00 AM,$ CRM $CRM,CRM options implied volatility elevated
2024/09/07 13:32:32, $AMZN ,Sector rotation lifts AMZN in late trade
19-Apr-2024 15:26,$ZZTOP,
09-Mar-2025 14:47,$ZZTOP,Funds trim exposure to META after sector read-across
2023-02-06T16:33:53, $MSFT ,MSFT moves on headline cross-asset flows
2023-11-25 06:14:57,$ABNB,ABNB options implied volatility elevated
2023/04/30 12:52:34,$ MSFT $MSFT,Funds trim exposure to MSFT after sector read-across
2024/01/05 11:27:58, $LYFT ,Analysts weigh in on LYFT ahead of macro data
2023-02-16 12:50:54, $AAPL ,Traders debate valuation for AAPL into quarter-end
2024-02-08 14:43:56,MSFT,MSFT sees block trade interest — sources
2024-12-16 10:47:35, $TSLA ,Sector rotation lifts TSLA in late trade
2023/08/17 07:34:16, $AAPL ,AAPL options implied volatility elevated
2024-04-12 13:00:33,$ TSLA $TSLA,TSLA moves on headline cross-asset flows
05/02/2024 04:38 PM, $MSFT ,Traders debate valuation for MSFT into quarter-end
2023-10-30T10:27:48, $LYFT ,LYFT sees block trade interest — sources
2020-05-01 10:00:00,uber ,  UBER options implied volatility elevated  
2023-11-27 07:28:15, $CRM ,"""Analysts weigh in on CRM ahead of macro data"""
"Nov 29, 2023 07:43:41",$ZZTOP,Analysts weigh in on TSLA ahead of macro data
2023-01-19 12:56:42,$ CRM $CRM,Funds trim exposure to CRM after sector read-across
03-Dec-2023 10:24, $AMZN ,  Funds trim exposure to AMZN after sector read-across  
2023-05-21 14:25:27, $AMZN ,AMZN active in premarket as volume spikes
2023-01-29 10:21:54, $AAPL ,Sector rotation lifts AAPL in late trade
2024-07-07T06:34:53,$CRM,Traders debate valuation for CRM into quarter-end
2024-02-08T15:18:06,$ GOOGL $GOOGL,"""Sector rotation lifts GOOGL in late trade"""
"May 01, 2020 10:00:00",META,META options implied volatility elevated
2024-10-07 13:08:13,$CRM / $LYFT,CRM active in premarket as volume spikes
2023-10-21 16:25:48,$ UBER $UBER,Traders debate valuation for UBER into quarter-end
08-Jun-2024 10:22, $TSLA ,Analysts weigh in on TSLA ahead of macro data
13-Mar-2024 06:17, $LYFT ,Analysts weigh in on LYFT ahead of macro data
2023/07/20 09:40:58,MSFT,Sector rotation lifts MSFT in late trade
2024-01-29T13:48:34,TSLA,
2020-05-01 10:00:00, $GOOGL ,GOOGL moves on headline cross-asset flows
03/31/2023 09:17 AM, $UBER ,UBER options implied volatility elevated
2023-08-05T16:26:22, $META ,META moves on headline cross-asset flows
2024/04/15 14:32:23, $LYFT ,LYFT options implied volatility elevated
04/05/2024 04:02 PM,$MSFT,MSFT moves on headline cross-asset flows
2023/10/05 11:16:00,$ABNB / $META,ABNB options implied volatility elevated
2024/04/14 06:31:37, $META ,Funds trim exposure to META after sector read-across
2023/12/03 11:45:34,uber ,Traders debate valuation for UBER into quarter-end
2023-07-17 07:38:40, $GOOGL ,Sector rotation lifts GOOGL in late trade
2023-12-07 16:35:18, $META ,META active in premarket as volume spikes
2023-10-10 16:30:27,aapl ,Analysts weigh in on AAPL ahead of macro data
2024-02-08 06:20:04,$ LYFT $LYFT,Sector rotation lifts LYFT in late trade
2023/08/20 14:32:21,ABNB,ABNB active in premarket as volume spikes
23-May-2023 14:36,$TSLA,Funds trim exposure to TSLA after sector read-across
2023/09/09 15:41:42,$ZZTOP,Traders debate valuation for AAPL into quarter-end
2024-12-14 06:12:58, $MSFT ,  MSFT options implied volatility elevated  
"Dec 02, 2024 15:03:50",$TSLA,Analysts weigh in on TSLA ahead of macro data
2024-05-26 09:13:11, $AMZN ,AMZN options implied volatility elevated
2024-03-07 13:22:05, $LYFT ,LYFT sees block trade interest — sources
2023-04-22 06:20:15,$UBER,UBER sees block trade interest — sources
2020-05-01 10:00:00, $AMZN ,Traders debate valuation for AMZN into quarter-end
2024-10-21 13:52:27,uber ,UBER moves on headline cross-asset flows
2023-11-08 12:04:21,$LYFT,LYFT sees block trade interest — sources
01-May-2020 10:00, $UBER ,Funds trim exposure to UBER after sector read-across
11/25/2024 12:22 PM, $AAPL ,Traders debate valuation for AAPL into quarter-end
13-Feb-2025 11:03,$UBER,UBER active in premarket as volume spikes
12-Feb-2025 08:33, $GOOGL ,Funds trim exposure to GOOGL after sector read-across
2024/01/23 16:43:38,msft ,MSFT options implied volatility elevated
2024-11-13T11:34:08, $MSFT ,Analysts weigh in on MSFT ahead of macro data
2025-03-23 16:44:23,googl ,Traders debate valuation for GOOGL into quarter-end
2023-09-29 15:35:12, $UBER ,UBER options implied volatility elevated
2024-07-08 13:10:14,$ABNB / $UBER,ABNB sees block trade interest — sources
2024/07/11 16:32:18,$ UBER $UBER,UBER moves on headline cross-asset flows
2023-01-22 07:06:44, $ABNB ,Traders debate valuation for ABNB into quarter-end
"Mar 04, 2025 12:23:40",$UBER / $META,UBER sees block trade interest — sources
2024-09-12T16:02:27,$AMZN / $META,AMZN sees block trade interest — sources
2023-05-30T16:59:55, $LYFT ,LYFT active in premarket as volume spikes
24-Oct-2024 11:44,$ZZTOP,AAPL options implied volatility elevated
2025-03-19T07:36:15,$ GOOGL $GOOGL,Funds trim exposure to GOOGL after sector read-across
2023-09-04 08:24:41,$LYFT / $AMZN,Funds trim exposure to LYFT after sector read-across
08/13/2023 09:15 AM, $GOOGL ,GOOGL moves on headline cross-asset flows
2023/04/24 15:10:35, $LYFT ,"Analysts weigh in on LYFT ahead of macro data
( wire )"
2024-10-29 09:50:27,AMZN,AMZN active in premarket as volume spikes
2024-05-01 11:55:55,aapl ,Sector rotation lifts AAPL in late trade
2024-08-24 13:39:48, $META ,Analysts weigh in on META ahead of macro data
2023/11/25 11:45:53, $META ,META moves on headline cross-asset flows
"Jun 06, 2024 14:57:36",$ZZTOP,UBER active in premarket as volume spikes
"Oct 28, 2023 09:29:32",$ AAPL $AAPL,AAPL sees block trade interest — sources
2023-10-31 14:17:05,$ MSFT $MSFT,Analysts weigh in on MSFT ahead of macro data
02/02/2023 02:06 PM, $GOOGL ,Analysts weigh in on GOOGL ahead of macro data
2023/10/26 13:44:11,$ZZTOP,MSFT moves on headline cross-asset flows
"Jul 14, 2024 13:19:28", $ABNB ,Analysts weigh in on ABNB ahead of macro data
"Mar 03, 2024 07:44:35", $CRM ,CRM options implied volatility elevated
12/18/2024 12:06 PM, $LYFT ,Sector rotation lifts LYFT in late trade
24-Feb-2025 12:22,meta ,Traders debate valuation for META into quarter-end
2023-09-24 13:24:09, $AAPL ,"Funds trim exposure to AAPL after sector read-across
( wire )"
2024/12/16 12:08:50,$AMZN,Analysts weigh in on AMZN ahead of macro data
"Jan 21, 2024 12:13:25",$LYFT / $ABNB,Traders debate valuation for LYFT into quarter-end
2023/10/28 12:48:05,$AAPL,Analysts weigh in on AAPL ahead of macro data
"Sep 29, 2023 08:56:14", $ABNB ,Funds trim exposure to ABNB after sector read-across
2024-02-11 12:05:36,CRM,Analysts weigh in on CRM ahead of macro data
20-Nov-2024 09:24,$CRM / $CRM,CRM active in premarket as volume spikes
2023/10/30 10:01:58, $GOOGL ,GOOGL moves on headline cross-asset flows
2025-03-29 15:32:10,$ GOOGL $GOOGL,Analysts weigh in on GOOGL ahead of macro data
08/06/2023 09:42 AM, $META ,META options implied volatility elevated
02/09/2024 01:32 PM,$ TSLA $TSLA,Analysts weigh in on TSLA ahead of macro data
2025-03-20 09:14:04,LYFT,Funds trim exposure to LYFT after sector read-across
"May 01, 2020 10:00:00", $CRM ,Traders debate valuation for CRM into quarter-end
2024-02-12T12:10:55,MSFT,MSFT options implied volatility elevated
01/24/2023 01:46 PM,$MSFT,MSFT moves on headline cross-asset flows
19-Jan-2025 10:58, $AAPL ,AAPL options implied volatility elevated
2025-02-11T07:57:53, $CRM ,CRM active in premarket as volume spikes
2023/03/27 15:24:23,$META / $UBER,META sees block trade interest — sources
02/11/2025 09:31 AM,$ META $META,Funds trim exposure to META after sector read-across
2023-12-21 07:30:36, $META ,Sector rotation lifts META in late trade
04-Jan-2024 12:12,$LYFT / $AMZN,LYFT active in premarket as volume spikes
2024-05-04 10:33:56,tsla ,  TSLA options implied volatility elevated  
2025-03-12 06:36:20,TSLA,TSLA options implied volatility elevated
"Jan 12, 2025 10:06:39", $CRM ,Sector rotation lifts CRM in late trade
"May 01, 2023 15:41:02",$UBER / $AMZN,UBER options implied volatility elevated
2024-10-19 08:06:27,$META / $UBER,Funds trim exposure to META after sector read-across
2023-11-21 12:00:00,$ZZTOP,CRM sees block trade interest — sources
2024/05/23 06:24:43, $AMZN ,AMZN moves on headline cross-asset flows
2024-03-17 15:00:47,$ CRM $CRM,CRM options implied volatility elevated
2023-08-16T06:27:43, $LYFT ,LYFT sees block trade interest — sources
07/17/2023 09:10 AM,msft ,Traders debate valuation for MSFT into quarter-end
2024/05/30 11:22:37,$ABNB,ABNB options implied volatility elevated
06/18/2024 08:14 AM,$ LYFT $LYFT,Traders debate valuation for LYFT into quarter-end
01/24/2024 08:55 AM,$TSLA,TSLA active in premarket as volume spikes
2024-07-25T09:33:57, $AAPL ,Traders debate valuation for AAPL into quarter-end
2025/02/02 14:01:50,CRM,CRM moves on headline cross-asset flows
2025-02-15 07:52:19,aapl ,AAPL sees block trade interest — sources
02/25/2024 12:19 PM, $AMZN ,AMZN active in premarket as volume spikes
2023-02-12 13:05:34,$ META $META,META moves on headline cross-asset flows
2023-04-02 12:47:20, $AMZN ,AMZN sees block trade interest — sources
2024-09-01 14:56:20,$AMZN,AMZN options implied volatility elevated
2024-07-17T10:02:30, $META ,Funds trim exposure to META after sector read-across
2025-02-02T09:08:48, $AMZN ,Traders debate valuation for AMZN into quarter-end
07/10/2023 09:41 AM, $ABNB ,ABNB sees block trade interest — sources
"May 12, 2024 10:22:16", $MSFT ,Traders debate valuation for MSFT into quarter-end
2024-01-11 15:31:27, $ABNB ,ABNB options implied volatility elevated
2025-02-24T08:22:38, $CRM ,Funds trim exposure to CRM after sector read-across
2023-10-13 08:23:39,lyft ,Analysts weigh in on LYFT ahead of macro data
2023-08-20 11:02:28, $CRM ,Traders debate valuation for CRM into quarter-end
11/20/2023 11:10 AM,uber ,UBER active in premarket as volume spikes
2024-07-13 12:33:30,UBER,Sector rotation lifts UBER in late trade
19-Jul-2023 12:19, $MSFT ,MSFT sees block trade interest — sources
2023-06-30T11:50:03, $LYFT ,LYFT moves on headline cross-asset flows
2024-10-30 13:30:41, $AMZN ,Sector rotation lifts AMZN in late trade
2023-09-25T12:14:55,$ MSFT $MSFT,Funds trim exposure to MSFT after sector read-across
01-May-2020 10:00, $MSFT ,"Sector rotation lifts MSFT in late trade
( wire )"
2024-07-23 14:55:04, $LYFT ,LYFT options implied volatility elevated
2024-10-20 14:41:59,CRM,Sector rotation lifts CRM in late trade
01-May-2020 10:00, $AMZN ,Analysts weigh in on AMZN ahead of macro data
2023/11/04 11:24:27, $UBER ,"""Sector rotation lifts UBER in late trade"""
06/28/2023 02:40 PM,$TSLA,Analysts weigh in on TSLA ahead of macro data
08/03/2024 10:18 AM,aapl ,Analysts weigh in on AAPL ahead of macro data
04/15/2024 01:51 PM,$META / $LYFT,Sector rotation lifts META in late trade
2023-07-04 12:47:51,$ ABNB $ABNB,"""Sector rotation lifts ABNB in late trade"""
2025-03-13 06:51:46,msft ,Traders debate valuation for MSFT into quarter-end
2024-10-12 13:53:35,$ZZTOP,MSFT active in premarket as volume spikes
2024-01-23T11:59:12, $AMZN ,Sector rotation lifts AMZN in late trade
15-Apr-2023 10:40, $AMZN ,AMZN sees block trade interest — sources
2024-06-25 10:14:29,crm ,CRM active in premarket as volume spikes
2024-09-04 09:38:41,$CRM,Sector rotation lifts CRM in late trade
2023-09-07 15:51:10, $UBER ,Funds trim exposure to UBER after sector read-across
2024-09-04 16:37:33, $MSFT ,MSFT sees block trade interest — sources
2024-12-10 12:37:22,META,META moves on headline cross-asset flows
2024-05-16T13:08:50,$ META $META,Sector rotation lifts META in late trade
2023-06-15 13:46:30, $TSLA ,TSLA moves on headline cross-asset flows
10/21/2024 06:57 AM, $AMZN ,AMZN sees block trade interest — sources
04-Jan-2024 15:38, $AMZN ,Sector rotation lifts AMZN in late trade
2023-11-16T10:44:40, $AMZN ,Analysts weigh in on AMZN ahead of macro data
2024-11-01 15:03:26, $META ,Traders debate valuation for META into quarter-end
03/28/2024 08:43 AM, $CRM ,Sector rotation lifts CRM in late trade
2023-03-06T06:39:12,META,META options implied volatility elevated
"Sep 15, 2023 10:54:28",$AMZN,AMZN options implied volatility elevated
"Dec 24, 2023 06:56:49",$ AAPL $AAPL,Traders debate valuation for AAPL into quarter-end
2024-10-17 16:36:55,$AAPL,AAPL sees block trade interest — sources
11/17/2023 06:27 AM,$ZZTOP,Funds trim exposure to AAPL after sector read-across
01/25/2023 07:14 AM,$ META $META,META sees block trade interest — sources
2023-05-15 12:19:00, $TSLA ,Sector rotation lifts TSLA in late trade
06/28/2023 09:55 AM, $MSFT ,MSFT sees block trade interest — sources
2023-01-17 09:55:50,msft ,Traders debate valuation for MSFT into quarter-end
10/19/2024 10:44 AM, $AAPL ,AAPL options implied volatility elevated
2024-06-05T07:32:26,AAPL,AAPL options implied volatility elevated
2024-04-13 06:24:47, $AMZN ,AMZN options implied volatility elevated
2024-03-24 12:38:33, $LYFT ,Sector rotation lifts LYFT in late trade
2023-02-24T13:40:24,$ GOOGL $GOOGL,GOOGL sees block trade interest — sources
2024-07-10 09:05:37,$ LYFT $LYFT,LYFT moves on headline cross-asset flows
"May 01, 2020 10:00:00",$GOOGL,Funds trim exposure to GOOGL after sector read-across
